# Thumb Tracking Data
# thumb_tip_x, thumb_tip_y, thumb_tip_z
-0.016482, 0.075068, 0.035509
-0.016482, 0.075068, 0.035509
-0.013345, 0.075859, 0.036821
-0.015455, 0.074354, 0.036297
-0.015455, 0.074354, 0.036297
-0.014152, 0.074108, 0.037037
-0.014152, 0.074108, 0.037037
-0.013572, 0.073050, 0.040943
-0.015840, 0.072922, 0.038644
-0.015840, 0.072922, 0.038644
-0.014536, 0.073747, 0.037480
-0.014536, 0.073747, 0.037480
-0.014687, 0.074380, 0.039929
-0.015115, 0.072943, 0.038113
-0.015115, 0.072943, 0.038113
-0.014812, 0.072766, 0.041565
-0.014812, 0.072766, 0.041565
-0.011220, 0.078587, 0.046864
0.002340, 0.088754, 0.042782
0.002340, 0.088754, 0.042782
0.014619, 0.087762, 0.043374
0.014619, 0.087762, 0.043374
0.018403, 0.089286, 0.036849
0.016986, 0.089046, 0.039414
0.016986, 0.089046, 0.039414
0.015648, 0.089659, 0.042232
0.015648, 0.089659, 0.042232
0.006225, 0.087225, 0.040122
0.019713, 0.069877, 0.035930
0.019713, 0.069877, 0.035930
0.013365, 0.081583, 0.047498
0.014291, 0.081995, 0.046760
0.014291, 0.081995, 0.046760
0.010421, 0.084295, 0.044640
0.010421, 0.084295, 0.044640
0.018885, 0.066357, 0.060597
